Fecha;Referencia;Concepto;Detalle;Monto;Saldo;Estado
20/05/2026;99482110;CREDITO POR TRANSFERENCIA;Desarrollos Inmobiliarios Austral S.A. - MATEO LOPEZ;150000.00;1245000.00;Acreditado
20/05/2026;48821004;DEBITO INTERESES;Intereses Adelanto Cta Cte;-12450.00;1095000.00;Acreditado
20/05/2026;11200491;IMP.LEY 25413;Impuesto al Cheque Credito;-900.00;1082550.00;Acreditado
20/05/2026;99482110;CREDITO POR TRANSFERENCIA;Error de Transferencia Cliente Ficticio;150000.00;1232550.00;Acreditado
20/05/2026;RE488210;REVERSION DE CARGO;Devolucion Comision Excesiva;3500.00;1236050.00;Acreditado
19/05/2026;88231991;PAGO DE SERVICIOS;CorpElectro Distribuidora Provincial S.E.;-45800.00;1190250.00;Acreditado
18/05/2026;00002104;CHEQUE PRESENTADO;Ch pagado ventanilla Suc 999;-85000.00;1399250.00;Acreditado
18/05/2026;RT330021;RETENCION DGR JURISDICCION BETA;SIRCREA Retencion General Ficticia;-4300.00;1394950.00;Acreditado
17/05/2026;11200455;IMP.LEY 25413;Impuesto al Cheque Debito;-510.00;1394440.00;Acreditado
17/05/2026;55410992;DEBITO AUTOMATICO;Aseguradora del Plata S.A. - Flota Corporativa;-62000.00;1332440.00;Acreditado
17/05/2026;55410992;DEBITO AUTOMATICO;Error Duplicado Aseguradora del Plata;-62000.00;1270440.00;Acreditado
16/05/2026;22104955;EXTRACCION CAJERO;Extraccion Link Suc 999;-40000.00;1230440.00;Acreditado
